Dataset;Layer config;lr;Beta;Reset Mechanism;Timesteps;Accuracy;Precision;Recall;F1;Loss
MNIST;[784, 20, 10, 10, 10];0.001;0.55;subtract;64;0.94;0.94;0.939;0.939;0.241
MNIST;[784, 20, 10, 10, 10];0.01;0.55;subtract;16;0.934;0.934;0.934;0.934;0.254
MNIST;[784, 20, 10, 10, 10];0.01;0.6000000000000001;subtract;128;0.932;0.933;0.931;0.931;0.249
MNIST;[784, 20, 10, 10, 10];0.01;0.8;subtract;8;0.932;0.932;0.931;0.931;0.313
MNIST;[784, 20, 10, 10, 10];0.001;0.4;subtract;32;0.932;0.932;0.931;0.931;0.282
MNIST;[784, 20, 10, 10, 10];0.001;0.8;subtract;64;0.929;0.931;0.929;0.929;0.208
MNIST;[784, 20, 10, 10, 10];0.001;0.6000000000000001;subtract;8;0.929;0.929;0.929;0.928;0.277
MNIST;[784, 20, 10, 10, 10];0.01;0.55;zero;64;0.926;0.926;0.925;0.925;0.293
MNIST;[784, 20, 10, 10, 10];0.01;0.7000000000000001;subtract;8;0.922;0.923;0.921;0.921;0.316
MNIST;[784, 20, 10, 10, 10];0.001;0.4;zero;128;0.922;0.921;0.92;0.92;0.299
MNIST;[784, 20, 10, 10, 10];0.01;0.5;zero;32;0.921;0.921;0.92;0.92;0.293
MNIST;[784, 20, 10, 10, 10];0.001;0.5;zero;32;0.921;0.921;0.919;0.92;0.28
MNIST;[784, 20, 10, 10, 10];0.001;0.5;zero;8;0.919;0.92;0.919;0.919;0.307
MNIST;[784, 20, 10, 10, 10];0.01;0.55;zero;16;0.919;0.92;0.918;0.918;0.301
MNIST;[784, 20, 10, 10, 10];0.001;0.8500000000000001;subtract;64;0.919;0.92;0.918;0.918;0.234
MNIST;[784, 20, 10, 10, 10];0.01;0.55;subtract;32;0.919;0.919;0.918;0.918;0.267
MNIST;[784, 20, 10, 10, 10];0.001;0.5;zero;128;0.918;0.918;0.917;0.917;0.291
MNIST;[784, 100, 10];0.01;0.45;zero;32;0.916;0.92;0.915;0.915;0.122
MNIST;[784, 20, 10, 10, 10];0.001;0.5;subtract;8;0.916;0.917;0.914;0.914;0.303
MNIST;[784, 20, 10, 10, 10];0.01;0.45;zero;8;0.916;0.916;0.914;0.914;0.288
MNIST;[784, 20, 10, 10, 10];0.001;0.95;zero;4;0.915;0.915;0.913;0.913;0.325
MNIST;[784, 20, 10, 10, 10];0.01;0.45;zero;32;0.915;0.915;0.914;0.913;0.311
MNIST;[784, 20, 10, 10, 10];0.001;0.6000000000000001;zero;16;0.908;0.911;0.907;0.907;0.276
MNIST;[784, 20, 10, 10, 10];0.001;0.8500000000000001;zero;8;0.905;0.907;0.904;0.904;0.325
MNIST;[784, 20, 10, 10, 10];0.001;0.8;zero;8;0.905;0.905;0.904;0.904;0.33
MNIST;[784, 20, 10, 10, 10];0.01;0.95;zero;4;0.905;0.907;0.904;0.903;0.322
MNIST;[784, 10, 10, 10];0.01;0.8;subtract;32;0.904;0.903;0.902;0.902;0.38
MNIST;[784, 10, 10, 10];0.01;0.8500000000000001;subtract;64;0.904;0.905;0.903;0.903;0.371
MNIST;[784, 10, 10, 10];0.01;0.6000000000000001;subtract;64;0.902;0.903;0.9;0.9;0.337
MNIST;[784, 20, 10, 10, 10];0.01;0.65;zero;4;0.902;0.904;0.9;0.9;0.323
MNIST;[784, 20, 10, 10, 10];0.01;0.65;zero;64;0.902;0.905;0.901;0.9;0.312
MNIST;[784, 10, 10, 10];0.001;0.55;zero;32;0.901;0.901;0.898;0.899;0.358
MNIST;[784, 20, 10, 10, 10];0.001;0.6000000000000001;zero;128;0.9;0.902;0.899;0.898;0.261
